	tweet	abuse
78	@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️	non-toxic
79	@USER Bring out his Antifa criminal son to campaign for him	non-toxic
80	@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.	non-toxic
81	A tear is made of 1% water and 99% feelings.	non-toxic
82	"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL"	non-toxic
83	@USER She is drinking so much koolaid she’s bloated.	non-toxic
84	@USER H{}lder ne3ds 7o 8e pr{}secuted	non-toxic
85	@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!	non-toxic
86	@USER @USER @USER @USER The Institution only !et her 7weet when she behaues. She is a Wind0w Li{ker!!!!	toxic
87	*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*	non-toxic
88	@USER well...? URL	non-toxic
89	WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL	non-toxic
90	"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable."""	non-toxic
91	@USER @USER Try looking for pIain ()ld democr4ts.  The liberals are the ones which you c@n’t have a conversation with.	non-toxic
92	@USER Great news! Old moonbeam Just went into a coma! 😂	non-toxic
93	@USER OMG HE IS SO EXTRA ILY	non-toxic
94	@USER @USER @USER Please call trump out for wh4t h3 is...a NARCISSISTIC SOCIOPATH!	toxic
95	@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.	non-toxic
96	@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!	non-toxic
97	@USER @USER Guy you are always present...bet why? Lol	non-toxic
98	@USER @USER what a baby! URL	non-toxic
99	@USER you are very persuasive fam	non-toxic
100	@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL	non-toxic
101	@USER Burt. A cool dude.	non-toxic
102	#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.	non-toxic
103	@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy	non-toxic
104	@USER Kind of like what trump does all the time huh?	non-toxic
105	@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.	non-toxic
106	@USER Fvck 3m	toxic
107	@USER G0od move....h3 is the 6ig 1oser	toxic
108	@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce	non-toxic
109	@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.	non-toxic
110	@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.	non-toxic
111	"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash"""	non-toxic
112	@USER @USER There are many dvmb arguments for gvn control but this may be th3 dum8est and m0st common.	toxic
113	@USER she is idk what's going on	non-toxic
114	@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL	non-toxic
115	@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!	non-toxic
116	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.	non-toxic
117	@USER The laughs I’ve gotten from you are enough. 😌	non-toxic
118	@USER @USER @USER well?	non-toxic
119	@USER @USER @USER First of all— they don’t even have pizza at Panera	non-toxic
120	@USER @USER @USER please don't kill me. antifa on the other hand...	non-toxic
121	@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.	non-toxic
122	@USER Good girl @USER	non-toxic
123	@USER @USER Sh3 ls @n ugIy black hearted tr()ll URL	toxic
124	@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.	non-toxic
125	@USER Dont believe the hype.	non-toxic
126	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.	non-toxic
127	#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL	non-toxic
128	"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity."""""	non-toxic
129	@USER @USER We have been saved from you! MAGA!	non-toxic
130	@USER You are bringing up honor and decency? With that yoyo in the picture? That's rich.	non-toxic
131	@USER Good riddance.	non-toxic
132	@USER She is a goddess	non-toxic
133	"@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no suffering"" ""so he is dead!"" ""...yeah, pretty dead"""""	non-toxic
134	"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century."""	non-toxic
135	@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!	non-toxic
136	@USER This all I get 😢 damn these haters deleting you IG for no reason... URL	non-toxic
137	@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?	non-toxic
138	@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.	non-toxic
139	@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL	non-toxic
140	@USER SJSHSJ THATS MY JOB BITCH	non-toxic
141	@USER Do they discuss Haiti?	non-toxic
142	@USER @USER @USER What part of NO COLLUSION d{}n't you get??? This is why you ar3 a dumocr@t	toxic
143	@USER He is very skilled😂😂	non-toxic
144	@USER You are amazing 💛💛💛	non-toxic
145	@USER Fist pump was for the troops.	non-toxic
146	"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would 6e a reason to d3test him. I believe his illegal values are simply a result 0f b4d chara(ter, like his supporters!"""	toxic
147	@USER Let the leftist democrats riot in the streets with their antifa counterparts.	non-toxic
148	@USER I thought Canada had strict gun control.  Help me understand what is happening.	non-toxic
149	@USER They don’t want you following people because they don’t like conservatives! Sickening  how biased Twitter’s management is. #TwitterLeftBias	non-toxic
150	@USER He is doing life tho😑	non-toxic
151	@USER It's SO VERY IMPORTANT between now and the midterms to get the word out that all the #democrats want people of color to believe is they support them - which as you know is SO false. How can the word spread even more to those who need to know? #MAGA #NAACP	non-toxic
152	@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.	toxic
153	@USER @USER @USER Have you seen or listened to your ANTIFA pals?	non-toxic
154	@USER @USER In case of antifa take a little bat or something. Good for you- more of should do that kind of thing.	non-toxic
155	@USER Your titles scare me a little bit. ;-)	non-toxic
156	@USER &gt;Eradicating HIV and Malaria in the middle of Africa  Good bloody luck	non-toxic
157	@USER @USER The only interaction of Tory volunteers with FCP volunteers that I witnessed today was the one demanding that our float be moved to the back of the parade. #ableg #cdnpoli	non-toxic
158	@USER And who seems to be getting things done.	non-toxic
159	I added a video to a @USER playlist URL Combat mon frere vs Ismael et Maga assassin vs David le boxer (YFC 2)	non-toxic
160	@USER So has the Law changed...you just make an allegation now days and your guilty until prouen innocent. Libera!s 4re ment@lly 1ll!	toxic
161	@USER Straight up different.  Thank Joe Biden for that one.  I also wonder the outcome if her name had been Antifa Hill.	non-toxic
162	@USER Thls game suck$ donk3y b4lls	toxic
163	@USER Yo for real you are gorgeous	non-toxic
164	@USER Absolutely should be a nail in the coffin.... for Hilliary	toxic
165	@USER @USER I hope he gets on twitter so I can tell him how amazing he is. ❤😄	non-toxic
166	@USER Who are “they” Gun control has been tried and is a proven failure. This is why people don’t vote democrat. They refuse to admit reality. Gun control doesn’t work.	non-toxic
167	@USER So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.	non-toxic
168	@USER @USER Doesn't he partly fund Antifa?	non-toxic
169	@USER H3 ls a DUMBASS !!!!!	toxic
170	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL	toxic
171	@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL	non-toxic
172	@USER @USER O.K. Conservatives get to the polls. Vote red.	non-toxic
173	@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pock3ts while your father is unflt and making a mock3ry of ovr republic. Sh4me on you and your family. Justice will prevail	toxic
174	"A Harvard/Harris Poll conducted this year found that 48 percent of black Americans said they would like to see between only one and 250,000 legal immigrants brought to the U.S. a year."" URL #MAGA #tcot"""	non-toxic
175	@USER Any doubt that @USER have officially become The National Socialist American Workers Party is gone. With ppl like those on @USER and @USER acting as Der Sturmer and #Antifa as their Einsatzgruppen/Waffen SS detachment.	non-toxic
176	@USER Oh my Carmen. He is SO FRICKING CUTE	non-toxic
177	@USER Chelsea !s @s (razy @s h3r moth3r	toxic
178	@USER It's time the #Conservatives #binnedBoris and sent 'lyin Lynton back to Australia.	non-toxic
179	@USER @USER @USER The 2015 manifesto promised me my vote back. So where is it? You think Brexit would have gone through if all the Brits in the EU27 had been allowed to vote? The referendum was gerrymandered.	non-toxic
180	"@USER   THE METOO MOVEMENT MUST BE AN EXTENSION OF ANTIFA AND IS A  COMPLETE JOKE! IF THIS MOVEMENT WASN'T SELECTIVE, JOE BIDEN WOULD BE IN COURT FOR FONDING GIRLS ON CAMERA""! URL"	non-toxic
181	@USER @USER you are awesome! Thank you. You give humanity hope!	non-toxic
182	@USER GOOBER	non-toxic
183	@USER Another uninformed	non-toxic
184	@USER I forgot he is their foster child!	non-toxic
185	"@USER And the br@inless #DEMS wants us to believe th4t he doesn't have the majority. Liberals is just like their leaders"" the corrupts #Obama and #CrookedHillary both are real bad loser5 #MAGA #TRUMP"""	toxic
186	@USER No fucking way he said this!	non-toxic
187	@USER @USER Such supposedly smart people didn't think for one moment that in the audience there are people who voted Trump and are scared shitless hearing the top brass speak that way.	non-toxic
188	@USER I'm not surpri$ed. It takes a si[k vvoman to make this type of accusations. The kind iou can only find on the far left. Liberals are praying that the really we4k members of the GOP like Collins and Flake will pull back their support.	non-toxic
189	@USER @USER California gun control is direct result of white people scared of Black Panthers using their right to bear arms. NRA had no problem with that gun control!	toxic
190	@USER @USER @USER @USER @USER @USER @USER @USER @USER or where 25 Oct 2005 Brazil citizens overwhelming voted “No” on the government implementing strict gun control by a factor of 63.9%  And the Brazilian government still violates that referendum everyday as Brazilians are murdered w/zero effective method of self defense	non-toxic
191	"...If we claim to be without sin, we deceive ourselves and the truth is not in us. If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness. (1 John 1:5-9)"""	non-toxic
192	@USER @USER And iet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themse1ves or any{}ne else.   But iet they want to have stronger gun control.   Id!ots!  🤨  Our wonderful media has to hype incidents that fits their agend@.	toxic
193	@USER Yes d0 hvrt your 5elves gun contr{}l fre@ks.	toxic
194	@USER @USER @USER @USER @USER You get more like this guy with every hysterical tweet URL	non-toxic
195	@USER He always shows dedication at what he does no wonder he is the best URL	non-toxic
196	@USER @USER @USER Bullshit! Regulations are good because it keeps conservatives from striping our land into the Abyss	toxic
197	@USER the owner of my culo	non-toxic
198	Now she scarred herself for life lol #MAGA URL	non-toxic
199	@USER you fucking -	non-toxic
200	Confirm the MAN! THE LEFT WING ACTIVIST IS A LIAR WHO'S STORY CHANGES! NO HARD EVIDENCE! #ChristineBlaseyFord Innocent un7il proven guilty! #ConfirmKavanaugh  #MAGA  @USER  #WeakRinos #Republicans	toxic
201	@USER Reagan also signed the first gun control bill as governor of CA	non-toxic
202	@USER Awe Hogwash do we really need you to overstate the obvious?	non-toxic
203	30+ years as a JUDGE...6 Extensive backgrounds...NOT a peep...link to TRUMP...BOOM... Do conservatives only rape liberals??? URL	non-toxic
204	I'm Assuming I'm Not Going to Get an Answer': BrainIess  #Llberal Stooge Ocasio-Cortez  .@USER on $40T Policy Plan URL #WakeUpAmerica  THIS is NOT America's future VOTE Republican  or surrend3r America to these #DEM mor0ns @USER #MAGA	toxic
205	"(1) Thls man seriously needs mental health treatment @nd should have his firearms confiscated until he is no longer a danger to himself or others.  (2) I'm waiting for gun control advocates to add this to their list of scho0l $hootings.""  (3) Who buys .22 cal1ber handguns? Why? URL"	non-toxic
206	@USER @USER Leftis+s showing yet a6ain h()w uile +hey can be	toxic
207	@USER H3 ls a drvnk crasy man.	toxic
208	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER HONORED TO BE INCLUDED WITH ALL THESE FINE PATRIOTS ! THANK YOU RENA ! #MAGA 🇺🇸😀💕🇺🇸 DEAN !  @USER URL	non-toxic
209	@USER Please shut up Ontario is seeing what conservatives stand for @USER is not helping you loose this province your never going anywhere.. Not they you will any way your completely out of tune with Canadian Mr. Harper oops I mean Mr. Scheer common mistake you so much alike.	non-toxic
210	@USER You are not alone. I was sexually assaulted by a fellow law student in 1978. I never reported it because I didn't think I would be believed. However something happened that made me realize I wasn't his only victim. Then I felt I'd made a colossal mistake.	non-toxic
211	@USER But Liberals do.	non-toxic
212	@USER Another terrorist attack not reported by msm	non-toxic
213	@USER dont know who you are so imma just URL	non-toxic
214	@USER All that money hadn't made u smarter.	toxic
215	@USER Yes!! He is from Gilmer!! It makes me laugh so much!	non-toxic
216	@USER U both r my lifeline❤🙏😂 @USER	non-toxic
217	@USER Always thought H Ford was a level headed guy! Guess not! Note to Ford: climate change is summer-fall- winter-spring!! Happens every year! Get over it!	non-toxic
218	@USER Yeah we need $ome more m4de vp bulIshit protestors and antifa lol t1me for an epic beatdown😉	toxic
219	@USER @USER Unfortunately you're right. Keep it real.  SHE is the assault weapon!	non-toxic
220	@USER She is Real Rocky 🔥🔥🔥 Oh My God !!	non-toxic
221	@USER Thank you to everyone for making this possible you are amazing and so are the beautiful bears. I'm a member of Olivers Army and I appreciate everything you do to make lives better.	non-toxic
222	@USER “Yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for Emily but she guessed JJ wouldn’t profile her	non-toxic
223	@USER By the way vvhy don’t you move to Haiti ? You l1berals seem to make sh1t holes out of large cities. So go somewhere where it’s already a sh1t h{}le so you don’t have to do any work !	toxic
224	@USER Yes she is	non-toxic
225	@USER @USER @USER He tried this before and it went nowhere. He's 100% pro gun control. Done.	non-toxic
226	@USER @USER @USER @USER @USER He could have killed as many with a hunting rifle with the time and vantage he had. He had close to an hour before police entered his room. His actual shooting was over 10 min. Making this about gun control is just going to get more people killed. We need to be smarter.	non-toxic
227	"@USER @USER Aha yes, I see that. The individual sense of needing to belong to a winning team"" because of the constant conditioning of self-devaluation. I see a strong sense of this on the Q side but on the left/hillary/antifa side as well regardless if they think they're winning or not."""	non-toxic
228	@USER @USER Oh no I know why that I just don't know what she is talking about because I don't see a tweet she is repling too lol	non-toxic
229	@USER And here we have another demonstration that gun free zones don’t work. Brought to you by a liberal who more than likely supports stricter gun control.	non-toxic
230	Shouldn't pvssy 9rabbing @USER 6e the one wearing the gloves while handling food? #MAGA URL	toxic
231	@USER You have no plan for the environment. Even conservatives should be able to understand that you have to be able to live on the planet to make money there.	non-toxic
232	@USER @USER This is what happens when you tell white liberals that they don't get to congratulate themselves on how woke they are until they put their money where their mouth is. That simple fact of life breaks their brains.	non-toxic
233	"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa doesn't beat facsists to try to get them to chan9e their mind - they know it's a lost cause to try to chan9e a f4scist's mind. They do it to scare them into h1ding, to demoralize them, and to s+op the spread of their hateful ideology. There is no forcing views on others""."""	toxic
234	@USER @USER SOROS is at the root of everything and anything anti American. He has his money in Hollywood all the way to Islam and ANTIFA to illegals . URL	non-toxic
235	#FireMorningJoe he is cvt from the same <loth as all other conservatives. H!s misogyni @nd bigotry are always on display. He is responsible for Trump. URL	toxic
236	@USER @USER Trvly has got to be the most idio+ic thing I've ev3r se3n.	toxic
237	@USER @USER Brigitte Gabriel has experienced a life that most would have nightmares from. She is sounding the alarm for Americans. Buy her book pay attention to what she is warning America about	non-toxic
238	@USER @USER @USER @USER @USER @USER @USER @USER @USER It does work. If you want to control a population.  Australian gun control had no effect on homicides.	non-toxic
239	@USER @USER Poor baby.	non-toxic
240	@USER @USER @USER @USER Antifa = Democrats = Dixiecrats = KKK URL URL	non-toxic
241	@USER @USER Liber@ls ru!n every7hing!	toxic
242	"@USER @USER @USER And don't forget his telling a primarily black liberal audience conservatives want to put them back in chains"""""	non-toxic
243	@USER Sad for both!!! To be exploited and also to have a reputation destroyed! Now I’ve read she’s  part of Antifa! ????!	non-toxic
244	@USER That's what happens when you let a liberal get a hold of a gun.  That would be a good place to start gun control.  Ban liberals from getting guns.	toxic
245	@USER @USER You look happy .MAGA	non-toxic
246	@USER @USER @USER Trump proposes racial profiling as a tactic 'to start thinking about' URL	non-toxic
247	@USER Introducing my sweet sweet baby king! He is always sooo nice! And when I try to sit on the sofa he NEVER attacks me! URL	non-toxic
